FID_Indore,FID_all_Gr,GRID_ID,Shape_Leng,OBJECTID_1,GRID_ID_1,ZONE_CODE,COUNT,AREA,MEAN,OID_,GRID_ID_12,sum_Road_l,sum_Length,Polyline_C,sum_Transp,Point_Coun,sum_Nos,Point_Co_1,sum_Nos_1,Point_Co_2,School_Nos,Shape_Le_1,Shape_Ar_1,sum_Health,Point_Co_3,Shape_Le_2,Shape_Area,Direction
1,6102,EX-216,2999.955996,0,EX-216,0,0,0,0,53721,,1.432811721,1.433274964,4,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922898,4.838E-05,South_East
1,6103,EY-216,2999.955996,4211,EY-216,4211,1,6.94444E-05,833.1696167,53722,,0.341051062,0.341152734,1,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025923215,4.83813E-05,South_East
1,6104,EZ-216,2999.955996,4212,EZ-216,4212,1,6.94444E-05,2130.696045,53723,,3.831031704,3.830664334,18,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922898,4.838E-05,South_East
1,6105,FA-216,2999.955996,4213,FA-216,4213,1,6.94444E-05,3448.166748,53724,,6.21516024,6.214629143,40,0,0,0,0,1,1,1,2999.955996,649499.99886000000,1,1,0.025923213,4.83813E-05,South_East
1,6106,FB-216,2999.955996,4214,FB-216,4214,1,6.94444E-05,2560.318604,53725,,3.040162479,3.040303585,24,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922898,4.838E-05,South_East
1,6107,FC-216,2999.955996,0,FC-216,0,0,0,0,53726,,1.622022528,1.622759736,13,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.024809236,4.37559E-05,South_East
1,6108,FD-216,2999.955996,4215,FD-216,4215,1,6.94444E-05,1721.552246,53727,,1.7533376,1.754581178,5,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.01996908,2.15176E-05,South_East
1,6229,EF-215,2999.955996,4313,EF-215,4313,1,6.94444E-05,8467.291016,54199,,9.211404943,9.212102185,66,0,0,0,1,0,0,1,2999.955996,649499.99886000000,0,0,0.023379313,3.55136E-05,South_West
1,6230,EG-215,2999.955996,4314,EG-215,4314,1,6.94444E-05,6015.492188,54200,,10.20109737,10.20108734,56,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.024421721,3.94536E-05,South_West
1,6231,EH-215,2999.955996,0,EH-215,0,0,0,0,54201,,6.679257038,6.679564952,49,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_West
1,6232,EI-215,2999.955996,4315,EI-215,4315,1,6.94444E-05,3055.073242,54202,,3.912423485,3.913592109,21,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_West
1,6233,EJ-215,2999.955996,4316,EJ-215,4316,1,6.94444E-05,2393.540771,54203,,2.571952011,2.571819196,19,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_West
1,6234,EK-215,2999.955996,4317,EK-215,4317,1,6.94444E-05,2447.481201,54204,,6.956994347,6.956582316,61,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922579,4.83788E-05,South_West
1,6235,EL-215,2999.955996,4318,EL-215,4318,1,6.94444E-05,2053.557373,54205,,13.40368101,13.40502015,94,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922262,4.83775E-05,South_West
1,6236,EM-215,2999.955996,0,EM-215,0,0,0,0,54206,,2.908430569,2.908756296,23,0,0,0,0,0,0,0,2999.955996,649499.99886000000,0,0,0.025922581,4.83788E-05,South_West
